✓ 检测器自测通过
  adwin     {'delta': 0.1}  标定集FPR=0.00
  baseline  {'thr': 0.01}  标定集FPR=0.15  ⚠️ 无档满足FPR≤10%，取FPR最小档

========================================================================================
E139 检测层比武（测试 n=44 / 场景；none 的 FPR 为全域任一报警）
baseline  none     TPR= 0.00 FPR= 0.09  延迟=—
baseline  drift    TPR= 0.93 FPR= 0.05  延迟=0.0±0.0(n=41)
baseline  driftg   TPR= 0.89 FPR= 0.05  延迟=1.4±0.5(n=39)
baseline  corrupt  TPR= 0.91 FPR= 0.05  延迟=0.1±0.1(n=40)
ph        none     TPR= 0.00 FPR= 0.00  延迟=—
ph        drift    TPR= 0.98 FPR= 0.00  延迟=0.0±0.0(n=43)
ph        driftg   TPR= 0.84 FPR= 0.00  延迟=2.1±0.5(n=37)
ph        corrupt  TPR= 0.93 FPR= 0.00  延迟=0.2±0.2(n=41)
cusum     none     TPR= 0.00 FPR= 0.00  延迟=—
cusum     drift    TPR= 0.95 FPR= 0.00  延迟=0.0±0.0(n=42)
cusum     driftg   TPR= 0.70 FPR= 0.00  延迟=2.7±0.6(n=31)
cusum     corrupt  TPR= 0.91 FPR= 0.00  延迟=0.1±0.0(n=40)
adwin     none     TPR= 0.00 FPR= 0.00  延迟=—
adwin     drift    TPR= 0.00 FPR= 0.00  延迟=—
adwin     driftg   TPR= 0.00 FPR= 0.00  延迟=—
adwin     corrupt  TPR= 0.00 FPR= 0.00  延迟=—
========================================================================================
